factor,class,rank_ic_h10,rank_icir_h10,rank_ic_h20,rank_icir_h20,pos_ratio_h10,topq_turnover,avg_hold_days,ls_costadj_8bps,ls_costadj_15bps,ls_costadj_25bps,monotonicity_h10,f2_crash_ic_h10,max_decorr_other,max_corr_ref,capacity_rmb,g_ic_pos,g_turn,g_cost,g_crash,g_novel,g_decorr,verdict
M1_max_ret_neg_20,defensive,0.0843,0.5,0.091,0.518,0.723,0.083,12.0,0.00735,0.0073,0.00721,0.6,0.0839,0.767,0.859,0.072,True,True,True,True,False,,reject
M2_skew_neg_20,defensive,0.0443,0.434,0.0384,0.37,0.679,0.1648,6.1,0.00534,0.00522,0.00506,0.6,0.0583,0.496,0.56,0.108,True,False,True,True,True,,reject
M3_pv_corr_neg_20,pv_divergence,0.0773,0.746,0.0728,0.583,0.774,0.1336,7.5,0.01008,0.00999,0.00985,1.0,0.1095,0.432,0.313,0.084,True,True,True,True,True,True,accept
M4_volume_quiet_5_60,low_turnover,0.072,0.683,0.0761,0.804,0.741,0.1229,8.1,0.00979,0.00971,0.00958,1.0,0.0473,0.567,0.441,0.062,True,True,True,True,True,True,accept
M5_clv_20,pv_path,-0.0117,-0.086,-0.0197,-0.148,0.497,0.1614,6.2,-0.00533,-0.00544,-0.0056,-1.0,-0.032,0.355,0.508,0.145,False,False,False,True,True,,reject
M6_overnight_neg_20,pv_path,-0.0118,-0.137,-0.0168,-0.194,0.406,0.1128,8.9,-0.00021,-0.00029,-0.0004,-0.1,0.0014,0.238,0.213,0.152,False,True,False,True,True,,reject
M7_vov_neg_20,defensive,0.0687,0.393,0.0797,0.434,0.689,0.0842,11.9,0.00547,0.00542,0.00533,0.6,0.074,0.767,0.826,0.081,True,True,True,True,True,True,accept
M8_semivol_neg_20,defensive,0.0515,0.22,0.0613,0.252,0.632,0.0788,12.7,0.00207,0.00202,0.00194,0.0,0.0555,0.715,0.859,0.098,True,True,True,True,False,,reject
M9_liq_shock_neg_20,low_turnover,0.0503,0.53,0.0489,0.536,0.75,0.5123,2.0,0.00605,0.00569,0.00518,1.0,0.0271,0.474,0.252,0.071,True,False,True,True,True,,reject
M10_vol_cv_neg_20,pv_stability,0.059,0.76,0.0563,0.688,0.783,0.121,8.3,0.00693,0.00684,0.00672,1.0,0.0442,0.498,0.468,0.097,True,True,True,True,True,True,accept
M11_fip_20,momentum_quality,0.0004,0.004,-0.0069,-0.074,0.424,0.2348,4.3,0.00036,0.0002,-4e-05,0.3,0.0253,0.058,0.083,0.139,False,False,False,True,True,,discard
M12_cgo_vwap60_neg,chip_approx,0.0802,0.526,0.0934,0.607,0.667,0.0905,11.0,0.01134,0.01127,0.01118,1.0,0.1169,0.384,0.66,0.09,True,True,True,True,True,True,accept
D6R_vol_compression_regate,defensive_medium,0.0492,0.485,0.0515,0.532,0.702,0.3288,3.0,0.00688,0.00665,0.00632,0.9,0.0093,0.567,0.245,0.085,True,True,True,True,True,True,accept
